Date,Average Prediction (12days after),Historical
2023-10-16,4.256654739379883,4.813600063323975
2023-10-17,4.297376790772684,4.694254398345947
2023-10-18,4.331890584503313,4.574909210205078
2023-10-19,4.363697959086654,4.53512716293335
2023-10-20,4.40554771962785,4.445618152618408
2023-10-23,4.451971938095969,4.455563545227051
2023-10-24,4.494052554889435,4.4157819747924805
2023-10-25,4.5272139516874725,4.336218357086182
2023-10-26,4.552450841518094,4.206927299499512
2023-10-27,4.587536446186575,4.097527027130127
2023-10-30,4.61996229887135,4.157199859619141
2023-10-31,4.664819355868142,4.256654739379883
