Date,Average Prediction (12days after),Historical
2023-10-16,26.090715408325195,26.63571548461914
2023-10-17,26.293765752439246,26.853717803955078
2023-10-18,26.522560701540524,26.79426383972168
2023-10-19,26.75061269461173,26.209625244140625
2023-10-20,27.009226444351228,25.773622512817383
2023-10-23,27.229238468125363,25.644804000854492
2023-10-24,27.479138798895704,25.922260284423828
2023-10-25,27.704150149608317,25.793441772460938
2023-10-26,27.940382990587203,25.93216896057129
2023-10-27,28.174935947562684,25.605167388916016
2023-10-30,28.456401367071418,25.922260284423828
2023-10-31,28.70932935013996,26.090715408325195
