Date,Average Prediction (12days after),Historical
2023-10-16,8.199999809265137,7.900000095367432
2023-10-17,8.264511051575253,7.880000114440918
2023-10-18,8.340653600207462,7.710000038146973
2023-10-19,8.431373560039981,8.229999542236328
2023-10-20,8.45335410166372,8.170000076293945
2023-10-23,8.482893979435262,8.15999984741211
2023-10-24,8.507963702140325,8.079999923706055
2023-10-25,8.591199262218467,7.980000019073486
2023-10-26,8.691010253427386,7.989999771118164
2023-10-27,8.766621709222573,8.010000228881836
2023-10-30,8.852350546945125,8.079999923706055
2023-10-31,8.878836342988727,8.199999809265137
