Date,Average Prediction (12days after),Historical
2023-10-16,77.2300033569336,74.56999969482422
2023-10-17,78.13861620749024,76.37999725341797
2023-10-18,79.07581417125914,78.73999786376953
2023-10-19,79.89286482527432,81.62000274658203
2023-10-20,80.52286724540654,77.5199966430664
2023-10-23,81.3104142288231,78.87000274658203
2023-10-24,81.61071494850329,81.11000061035156
2023-10-25,82.50181110714861,78.5999984741211
2023-10-26,82.68206126144092,77.48999786376953
2023-10-27,83.04305550300153,76.7699966430664
2023-10-30,83.92623998258868,76.63999938964844
2023-10-31,84.93362802625852,77.2300033569336
