Date,Average Prediction (12days after),Historical
2023-10-16,402.79998779296875,454.45001220703125
2023-10-17,405.96873970016463,452.67999267578125
2023-10-18,407.5963614160218,448.32000732421875
2023-10-19,412.8015326254249,435.8699951171875
2023-10-20,414.83524228002386,429.6499938964844
2023-10-23,421.38422718173956,430.2699890136719
2023-10-24,423.4929006644954,431.17999267578125
2023-10-25,425.8508156095107,423.7300109863281
2023-10-26,425.92377315490353,411.7099914550781
2023-10-27,432.8863829200736,372.0
2023-10-30,431.7514528240643,389.79998779296875
2023-10-31,436.2344234173428,402.79998779296875
