Date,Average Prediction (12days after),Historical
2023-10-16,30.5,31.010000228881836
2023-10-17,30.750916193187113,31.709999084472656
2023-10-18,31.11439089892349,32.290000915527344
2023-10-19,31.36643322907616,31.65999984741211
2023-10-20,31.68092264840568,31.0
2023-10-23,32.02096823826814,31.0
2023-10-24,32.22542038712729,31.440000534057617
2023-10-25,32.43515236928597,30.770000457763672
2023-10-26,32.74350780702755,31.0
2023-10-27,33.05833605289147,30.899999618530273
2023-10-30,33.29083904923171,31.399999618530273
2023-10-31,33.56309359082591,30.5
