Date,Average Prediction (12days after),Historical
2023-10-16,376.3500061035156,401.1600036621094
2023-10-17,379.6697084167829,401.7699890136719
2023-10-18,382.31331649588276,393.2099914550781
2023-10-19,382.1202939426923,387.8699951171875
2023-10-20,386.09802254232994,384.4100036621094
2023-10-23,388.95312132796374,383.6700134277344
2023-10-24,396.78460339370827,386.9100036621094
2023-10-25,400.29411959565215,386.30999755859375
2023-10-26,403.7907977901585,364.5899963378906
2023-10-27,405.5540567769864,364.0799865722656
2023-10-30,410.375369606447,372.4200134277344
2023-10-31,412.80123490465274,376.3500061035156
