Date,Average Prediction (12days after),Historical
2023-10-16,6.829999923706055,7.5
2023-10-17,6.879332030493608,7.380000114440918
2023-10-18,6.93995401847319,7.260000228881836
2023-10-19,6.993936858694903,7.079999923706055
2023-10-20,7.05844418279753,7.039999961853027
2023-10-23,7.107519385003228,6.989999771118164
2023-10-24,7.170260911171348,7.0
2023-10-25,7.225794713193973,6.769999980926514
2023-10-26,7.294837930754841,6.71999979019165
2023-10-27,7.365207703594191,6.679999828338623
2023-10-30,7.432135180854367,6.760000228881836
2023-10-31,7.5139904977480345,6.829999923706055
