Date,Average Prediction (12days after),Historical
2023-10-16,307.3481140136719,320.7397155761719
2023-10-17,310.2935622874055,320.7197265625
2023-10-18,312.4106040772851,313.3553466796875
2023-10-19,315.1814996119832,310.9205017089844
2023-10-20,317.99167498424157,308.9447326660156
2023-10-23,320.173846317165,308.3958740234375
2023-10-24,322.7266857920287,304.963134765625
2023-10-25,325.71206493504457,313.5948486328125
2023-10-26,327.92182795305206,309.4336853027344
2023-10-27,330.66499279124963,301.33087158203125
2023-10-30,332.98805013429376,305.6716613769531
2023-10-31,335.11601099009954,307.3481140136719
