Date,Average Prediction (12days after),Historical
2023-10-16,82.4000015258789,84.68000030517578
2023-10-17,82.90930817482246,84.91000366210938
2023-10-18,83.58655491300095,85.73999786376953
2023-10-19,84.57507042702856,84.29000091552734
2023-10-20,85.09596303306604,82.33999633789062
2023-10-23,85.62691407090524,82.19999694824219
2023-10-24,86.59853441161192,80.76000213623047
2023-10-25,87.20320628386911,78.8499984741211
2023-10-26,88.03050257000412,77.16000366210938
2023-10-27,88.77560732414968,77.55000305175781
2023-10-30,89.6247811930935,80.8499984741211
2023-10-31,90.58427170982934,82.4000015258789
