Date,Average Prediction (12days after),Historical
2023-10-16,38.98384475708008,40.42512893676758
2023-10-17,39.35661470545242,40.67192459106445
2023-10-18,39.70155335923197,39.9512825012207
2023-10-19,40.03686247801922,39.54653549194336
2023-10-20,40.32134251560323,39.17140579223633
2023-10-23,40.64184796572869,38.39153289794922
2023-10-24,40.84501955227306,38.4310188293457
2023-10-25,41.19856502046858,38.11511993408203
2023-10-26,41.5442140908803,38.83576583862305
2023-10-27,41.91536161569722,37.7498664855957
2023-10-30,42.20065177930358,38.4310188293457
2023-10-31,42.44691126038506,38.98384475708008
