Date,Average Prediction (12days after),Historical
2023-10-16,199.66000366210938,211.17999267578125
2023-10-17,201.10798412330936,214.27000427246094
2023-10-18,202.4565413800645,213.0399932861328
2023-10-19,203.1780647177573,211.66000366210938
2023-10-20,205.42079139824412,208.1199951171875
2023-10-23,207.7707858163098,206.4199981689453
2023-10-24,208.91540944580697,206.8699951171875
2023-10-25,209.00038446926837,206.47000122070312
2023-10-26,210.05211763807637,204.52999877929688
2023-10-27,211.46671885638185,192.6300048828125
2023-10-30,213.5011941784882,198.1300048828125
2023-10-31,215.52551437358633,199.66000366210938
