Date,Average Prediction (12days after),Historical
2023-10-16,24.190000534057617,24.814428329467773
2023-10-17,24.326364085452624,25.081037521362305
2023-10-18,24.47687856687327,25.298276901245117
2023-10-19,24.589935878909746,24.310832977294922
2023-10-20,24.89501169513312,23.747989654541016
2023-10-23,25.181598576358866,23.007408142089844
2023-10-24,25.433521117855143,22.47418975830078
2023-10-25,25.642845039956185,23.14565086364746
2023-10-26,26.069948534146764,23.254268646240234
2023-10-27,26.20090489757847,23.234521865844727
2023-10-30,26.31025312675323,23.589998245239258
2023-10-31,26.606704698839465,24.190000534057617
