Date,Average Prediction (12days after),Historical
2023-10-16,31.893020629882812,33.53821563720703
2023-10-17,32.19602293536654,33.875186920166016
2023-10-18,32.495663558552955,32.358829498291016
2023-10-19,32.86698660635564,31.873199462890625
2023-10-20,33.11431650890094,31.972305297851562
2023-10-23,33.34450226552008,31.774091720581055
2023-10-24,33.66852036772042,32.34891891479492
2023-10-25,33.93920286031483,31.863290786743164
2023-10-26,34.22153703059404,31.93266487121582
2023-10-27,34.51737936271263,31.397480010986328
2023-10-30,34.67099343999463,31.704715728759766
2023-10-31,34.96848729797026,31.893020629882812
