Date,Average Prediction (12days after),Historical
2023-10-16,64.69000244140625,68.41999816894531
2023-10-17,65.09230593793558,70.9000015258789
2023-10-18,65.60266448883763,69.44000244140625
2023-10-19,66.22248892959385,68.4000015258789
2023-10-20,67.00417278009641,66.91000366210938
2023-10-23,67.69084269595422,67.55000305175781
2023-10-24,67.79670974471104,68.02999877929688
2023-10-25,68.36766479806326,65.31999969482422
2023-10-26,68.80518407042926,64.61000061035156
2023-10-27,69.23815477461768,64.36000061035156
2023-10-30,70.0245573227372,65.30000305175781
2023-10-31,70.45860392231532,64.69000244140625
