Date,Average Prediction (12days after),Historical
2023-10-16,61.61301803588867,65.16167449951172
2023-10-17,62.06659931833655,65.32115936279297
2023-10-18,62.47793172267827,66.28807067871094
2023-10-19,63.05476170956805,66.2481918334961
2023-10-20,63.658569549534384,64.97227478027344
2023-10-23,64.14363021189315,62.61979675292969
2023-10-24,64.74122586229451,62.330718994140625
2023-10-25,65.36552722221955,63.068363189697266
2023-10-26,65.8962747645714,63.068363189697266
2023-10-27,66.13665917860398,62.03167724609375
2023-10-30,66.66813117826983,61.47346115112305
2023-10-31,67.22360950345745,61.61301803588867
