Date,Average Prediction (12days after),Historical
2023-10-16,146.02999877929688,152.7899932861328
2023-10-17,146.74285863092067,154.38999938964844
2023-10-18,148.16043838861862,151.52999877929688
2023-10-19,149.2588657876344,149.6199951171875
2023-10-20,150.6335073902777,141.57000732421875
2023-10-23,151.8830724699155,144.58999633789062
2023-10-24,153.37294368928048,144.4199981689453
2023-10-25,154.84883617459684,143.52000427246094
2023-10-26,155.94214267848068,143.33999633789062
2023-10-27,156.7682369718036,141.30999755859375
2023-10-30,158.1912034056653,143.27000427246094
2023-10-31,159.84072149199693,146.02999877929688
