Date,Average Prediction (12days after),Historical
2023-10-16,6.849999904632568,7.489999771118164
2023-10-17,6.920018456765887,7.380000114440918
2023-10-18,6.98168847913696,7.28000020980835
2023-10-19,7.0347357137074225,7.110000133514404
2023-10-20,7.079145069995782,7.070000171661377
2023-10-23,7.129883422930217,7.019999980926514
2023-10-24,7.1925544887191215,7.039999961853027
2023-10-25,7.2502522667690945,6.800000190734863
2023-10-26,7.298923552051426,6.75
2023-10-27,7.363021499011548,6.730000019073486
2023-10-30,7.431548732983892,6.769999980926514
2023-10-31,7.484470787705292,6.849999904632568
