Date,Average Prediction (12days after),Historical
2023-10-16,116.36000061035156,115.05000305175781
2023-10-17,117.54924612371347,116.08999633789062
2023-10-18,118.78720511818712,114.7699966430664
2023-10-19,119.55643757652217,113.58999633789062
2023-10-20,120.84948122944421,110.25
2023-10-23,121.69894692476751,111.20999908447266
2023-10-24,122.59566516979494,111.27999877929688
2023-10-25,123.4836998551886,112.02999877929688
2023-10-26,124.49331497604544,113.48999786376953
2023-10-27,125.4873550579636,112.02999877929688
2023-10-30,126.57073601250173,113.36000061035156
2023-10-31,127.6167316819726,116.36000061035156
