Date,Average Prediction (12days after),Historical
2023-10-16,45.07218551635742,43.9992790222168
2023-10-17,45.42492224570703,44.197967529296875
2023-10-18,45.75706679112201,43.93967056274414
2023-10-19,46.14802479072157,44.2078971862793
2023-10-20,46.57420402683783,43.840328216552734
2023-10-23,46.96497433368656,43.03564453125
2023-10-24,47.35002836628034,43.3237419128418
2023-10-25,47.7369751080255,43.9992790222168
2023-10-26,48.15317408378685,44.47612762451172
2023-10-27,48.514708436455685,44.13835906982422
2023-10-30,48.97631607233272,44.654945373535156
2023-10-31,49.41428393444763,45.07218551635742
