Date,Average Prediction (12days after),Historical
2023-10-16,133.08999633789062,132.5500030517578
2023-10-17,134.554951341641,131.47000122070312
2023-10-18,135.5807416533548,128.1300048828125
2023-10-19,137.11503925321549,128.39999389648438
2023-10-20,138.32736928269253,125.16999816894531
2023-10-23,140.00674965650578,126.55999755859375
2023-10-24,139.86696075029892,128.55999755859375
2023-10-25,141.37651238047636,121.38999938964844
2023-10-26,142.34107585372604,119.56999969482422
2023-10-27,143.80403252762378,127.73999786376953
2023-10-30,144.55158069284377,132.7100067138672
2023-10-31,146.2607013811116,133.08999633789062
