Date,Average Prediction (12days after),Historical
2023-10-16,51.0715446472168,54.34817123413086
2023-10-17,51.48012331540227,55.5134162902832
2023-10-18,51.985719936776064,54.70670700073242
2023-10-19,52.388096397846205,53.780487060546875
2023-10-20,52.89197230248305,53.232723236083984
2023-10-23,53.43991884163289,52.46585464477539
2023-10-24,53.88065584576856,52.30650329589844
2023-10-25,54.48526407523315,51.031707763671875
2023-10-26,54.947011946109235,50.663211822509766
2023-10-27,55.45680834118136,50.23495864868164
2023-10-30,55.926206476915304,51.02174758911133
2023-10-31,56.379388623153446,51.0715446472168
