Date,Average Prediction (12days after),Historical
2023-10-16,31.8700008392334,32.599998474121094
2023-10-17,32.06150133626376,32.380001068115234
2023-10-18,32.443319106920995,31.8700008392334
2023-10-19,32.770727687900205,31.209999084472656
2023-10-20,33.06156524370149,31.270000457763672
2023-10-23,33.36389168963809,30.100000381469727
2023-10-24,33.66742624157222,30.700000762939453
2023-10-25,33.975015593409005,30.420000076293945
2023-10-26,34.251984966928525,30.709999084472656
2023-10-27,34.546108090903864,30.610000610351562
2023-10-30,34.86493904324386,31.450000762939453
2023-10-31,35.18445443213046,31.8700008392334
