Date,Average Prediction (12days after),Historical
2023-10-16,31.101276397705078,31.21990966796875
2023-10-17,31.386435847448496,31.150707244873047
2023-10-18,31.652435811641556,31.36819839477539
2023-10-19,31.896963004255827,31.091392517089844
2023-10-20,32.1874596505814,30.952987670898438
2023-10-23,32.458739680425026,30.765155792236328
2023-10-24,32.73686664448159,31.348426818847656
2023-10-25,33.01216903301297,31.714210510253906
2023-10-26,33.29426017159579,31.49671745300293
2023-10-27,33.59466554135227,31.081506729125977
2023-10-30,33.90536154121099,31.25945472717285
2023-10-31,34.16106878017318,31.101276397705078
