Date,Average Prediction (12days after),Historical
2023-10-16,31.239999771118164,31.959999084472656
2023-10-17,31.35581153986996,31.8700008392334
2023-10-18,31.6259635836686,31.280000686645508
2023-10-19,31.923548584358215,30.610000610351562
2023-10-20,32.27477408084317,30.709999084472656
2023-10-23,32.49146767623965,29.520000457763672
2023-10-24,32.75240546440803,30.079999923706055
2023-10-25,33.07443240996377,29.90999984741211
2023-10-26,33.37497067097595,30.100000381469727
2023-10-27,33.67000312160123,30.030000686645508
2023-10-30,33.803306566254335,30.829999923706055
2023-10-31,34.083006257133235,31.239999771118164
